reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,sampling_method,method_number,haul_number_pass_number,species,length_mm,weight_g,sex,maturity,age_structure,age_sample_number,age,genetic_structure,genetic_sample_number,comments
4,Robert Hatch,197912_ds_ef1,00000BULK,0,4,electrofishing,1,1,Rainbow Trout,147,35.2,,,,,,,,
5,Robert Hatch,197912_ds_ef2,00000BULK,0,5,electrofishing,1,1,Rainbow Trout,58,2.7,,,,,,,,
6,Robert Hatch,197912_ds_ef3,00000BULK,0,6,electrofishing,1,1,Rainbow Trout,57,2.4,,,,,,,,
6,Robert Hatch,197912_ds_ef3,00000BULK,0,6,electrofishing,1,1,Rainbow Trout,179,69,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Rainbow Trout,53,4.4,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Sucker (General),67,3.3,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Sucker (General),90,4,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Rainbow Trout,99,6.2,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Sucker (General),98,7.1,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Rainbow Trout,63,2,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Rainbow Trout,56,1.4,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Coho Salmon,72,3.1,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Coho Salmon,78,4.3,,,,,,,,dead
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Rainbow Trout,71,4.3,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Coho Salmon,74,3.3,,,,,,,,dead
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Mountain Whitefish,69,,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Coho Salmon,69,2.8,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Coho Salmon,81,6.5,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Coho Salmon,80,4.3,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Mountain Whitefish,70,,,,,,,,,size estimated afterwards on assumption was the same as last one.
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Coho Salmon,87,6.2,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Coho Salmon,71,3.9,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Rainbow Trout,71,4.3,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Rainbow Trout,80,5.2,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Coho Salmon,85,5,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Rainbow Trout,100,8.599999999999998,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Rainbow Trout,80,6.8,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Rainbow Trout,53,2.4,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Coho Salmon,64,3.8,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Coho Salmon,82,5.1,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Rainbow Trout,52,1.5,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Coho Salmon,69,2.8,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Rainbow Trout,71,4,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Rainbow Trout,47,1.4,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Sucker (General),73,4.2,,,,,,,,
30,Richfield Creek,197662_ds_ef1,00000BULK,0,30,electrofishing,1,1,Sucker (General),81,5.6,,,,,,,,
