reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
1,Unnamed Tributary to Maxan,197909_ds,00000BULK,0,1,1.3,0.6,1,0.8,3,,,1.34,metre tape,1.15,0.6,1,0.6,3,,,1.27,metre tape,0.5,,,,,,,0.5,metre stick,0.2,0.25,0.35,,0.26666666666666666,metre stick,4.5,2.5,2.5,,0.03166666666666666,clinometer,moderate,,12,recording meter,106,recording meter,7.2,pH meter (general),clear,abundant,,,,,,,,21-40%,none,not applicable,,undercut,fines,,mixed forest,young forest,V-shaped,fines,,mixed forest,young forest,fines,,,,,sinuous,Coupled,confined,,,,,,,,,~300 m stream gets wider with glide habitat at ~50cm depth. Appears ~30m glide. Appears to be caused by step canyon wall failure. Low value fish habitat due to low flows and fine substrate.
2,Robert Hatch,197912_ds,00000BULK,0,2,4.3,4.5,6.4,5.3,3.5,4.2,,4.7,metre tape,2.3,3,3.4,3.3,3,4.2,,3.2,metre tape,0.55,0.55,0.45,0.45,0.5,,,0.5,metre stick,0.2,,,,0.2,metre stick,2,1,0.5,,0.011666666666666667,clinometer,low,,12,recording meter,283,recording meter,8,pH meter (general),Clear,,sub-dominant,sub-dominant,none,sub-dominant,dominant,sub-dominant,none,1-20%,few,evenly distributed,,undercut,fines,,deciduous forest,mature forest,sloping,gravels,,grass,initial,gravels,fines,,,,sinuous,,,,,,,,,,,High value habitat but functioning as medium. Frequent pools to 60cm deep and abundant gravels suitable for rainbow trout and coho salmon spawning. Riparian and banks heavily impacted by cattle.
3,Robert Hatch,197912_us,00000BULK,0,3,3.7,4.6,3.7,4.2,5.4,,,4.32,metre tape,2.2,3.7,1.8,3.2,1.8,,,2.54,metre tape,0.7,0.7,0.5,,,,,0.6333333333333333,metre stick,0.35,,,,0.35,metre stick,2,1.5,1,,0.015,clinometer,,,12,recording meter,283,recording meter,8,pH meter (general),Clear,abundant,sub-dominant,sub-dominant,none,sub-dominant,dominant,sub-dominant,sub-dominant,21-40%,few,evenly distributed,,undercut,fines,,shrubs,shrub,sloping,gravels,,shrubs,shrub,gravels,fines,,,,,,,beaver dam,1.2,,metre stick,9,670788,6046511,gps,"High value habitat. Low densities of fish (not sure why). Abundant gravels, deep pools, undercut banks, and small woody debris. Extreme areas of algal growth. Cattle impacts extreme throughout."
7,Taman Creek,197967_ds,00000BULK,0,7,5.3,7.7,5.8,4.5,5.9,5.1,,5.716666666666668,metre tape,4,2.8,4.5,1.6,3.3,2.5,,3.1166666666666667,metre tape,0.35,0.2,0.95,0.6,0.35,,,0.4900000000000001,metre stick,0.6,0.4,0.5,,0.5,metre stick,2,2.5,3,,0.025,clinometer,low,,12,recording meter,359,recording meter,7.2,pH meter (general),Clear,trace,trace,trace,trace,trace,sub-dominant,dominant,sub-dominant,,none,not applicable,,sloping,cobbles,,mixed forest,young forest,undercut,fines,,shrubs,young forest,cobbles,fines,85,20,,sinuous,Decoupled,unconfined,,,,,,,,,"End at bridge, site had significant amounts of algae for majority of survey, especially prominent near highway crossing. Thick reddish mats covering substrate and slowing water flow. Water very low trickling with 2-3 uncommon deep pools. Few undercut banks and substrate mostly cobble and fines. Some boulders (not in wetted area), few gravels. No large woody debris, few small woody debris, lots of overhanging vegetation. A couple spots had old fence material in or across channel and no riparian plants where agricultural field and fence line were close. In these conditions, poor habitat."
8,Taman Creek,197967_us,00000BULK,0,8,4.9,5.1,6.1,4.9,5.3,,,5.26,metre tape,2.8,1.2,2.8,,,,,2.2666666666666666,metre tape,0.85,0.7,0.45,0.8,,,,0.7,metre stick,0.45,0.4,,,0.425,metre stick,1,1,3,,0.016666666666666666,clinometer,,,12,recording meter,359,recording meter,7.2,pH meter (general),Clear,moderate,trace,sub-dominant,trace,trace,dominant,sub-dominant,none,21-40%,few,evenly distributed,,undercut,cobbles,,mixed forest,young forest,sloping,gravels,,mixed forest,young forest,gravels,cobbles,100,16,,sinuous,Decoupled,occasionally confined,,,,,,,,,"First ~250m is beaver influenced area with dry channel. Frequent pockets of gravels and small cobbles suitable for rainbow trout and coho salmon spawning. Medium value habitat. Canyon section has deep bedrock pools with small fish present and no large woody debris. One deep pool upstream of canyon section contained likely 2-3 year old juveniles (coloring indicated rainbow trout, unverified)."
9,Taman Creek,197967_us2,00000BULK,0,9,4.4,3.2,3.8,3.9,3.3,4.4,,3.8333333333333335,metre tape,1.3,2.2,1.4,3.1,2.6,2.8,,2.233333333333333,metre tape,0.5,0.55,0.4,0.7,0.3,0.33,,0.4633333333333334,,0.35,0.3,0.3,,0.31666666666666665,,1.5,1,2,,0.015,,low,,10,recording meter,185,,7.5,,Moderately Turbid,moderate,sub-dominant,sub-dominant,none,sub-dominant,dominant,sub-dominant,none,71-90%,few,evenly distributed,algae,undercut,fines,,shrubs,shrub,sloping,fines,,shrubs,shrub,gravels,cobbles,,12,,sinuous,Decoupled,occasionally confined,,,,,,,,,"Numerous fry observed downstream. Turbid water. Abundant gravels present suitable for resident rainbow trout and coho salmon. Algae throughout syste, with eroding banks common. Medium value habitat. Potentially suitable for coho salmon rearing but more likely resident rainbow trout system."
10,Unnamed Tributary to Thautil River,198016_us,00000MORR,0,10,1.4,1.9,2.4,2,1.9,1.4,2,1.8571428571428568,,1.1,1.7,2.1,1.6,1.7,0.75,1.6,1.507142857142857,metre tape,0.25,0.45,0.3,0.27,0.25,,,0.304,,0.2,0.2,0.2,,0.20000000000000004,,5.5,6.5,9.5,6.5,0.07,,low,,8,recording meter,155,,8.12,,Clear,moderate,sub-dominant,sub-dominant,none,dominant,sub-dominant,sub-dominant,,21-40%,few,evenly distributed,,undercut,fines,,coniferous forest,mature forest,sloping,gravels,,coniferous forest,mature forest,gravels,cobbles,30,12,,sinuous,Partially Coupled,frequently confined,,,,,,,,,Medium value habitat. Sporadic pools and abundant deeply undercut banks. Abundant gravels present suitable for spawning. Very occasional large and small woody debris steps to 70cm. Good flow with intake mature spruce forest.
11,Unnamed Tributary to Thautil River,198016_ds,00000MORR,0,11,2.8,1.7,1.7,2,1.82,1.46,2.8,2.04,,1.2,1.3,1.1,1.1,1.13,1.05,1.8,1.24,metre tape,0.2,0.2,0.3,0.4,0.3,0.3,,0.2833333333333334,,0.2,0.2,0.2,0.2,0.2,,11,6,8,11,0.08999999999999998,,moderate,,8,recording meter,155,,8.12,,Clear,moderate,sub-dominant,dominant,trace,sub-dominant,trace,sub-dominant,trace,,abundant,evenly distributed,,undercut,gravels,,shrubs,mature forest,sloping,cobbles,,coniferous forest,mature forest,cobbles,gravels,17,0.75,,irregular meanders,Coupled,confined,LWD Jam,0.85,1.6,metre stick,9,607548,6020764,gps,"Fish sighted. Very nice stream, abundant and functional large woody debris creating cover and pools. Plentiful growth with more boulder near confluence. Gradient increases near confluence with more ~1m tall large woody debris jam forming pools ~0.45m deep. Lots of undercut banks and overhanging vegetation. Stream partially coupled then fully coupled closer to confluence. 1 site of bank instability. Debris jams noted. Appears to be abundant rearing fish habitat some overwintering spots and lots of undercut banks. Gravels throughout but gradient always >5 so not ideal for spawning."
12,Cesford Creek,198048_ds,00000BULK,0,12,6.1,5.7,4.1,5.3,6.2,,,5.48,,1.2,1.9,,,,,,1.5499999999999998,metre tape,0.35,,,,,,,0.35,,0.2,0.2,,,0.2,,4,4.5,2,3.5,0.035,,low,,11,recording meter,263,,8.25,,Clear,moderate,sub-dominant,trace,trace,sub-dominant,trace,dominant,trace,,few,evenly distributed,,undercut,gravels,,shrubs,shrub,sloping,cobbles,,deciduous forest,mature forest,cobbles,gravels,65,22,,irregular wandering,Decoupled,unconfined,,,,,,,,,"Stream has plenty of undercut banks and overhanging vegetation, some small woody debris jams and what appears to be pools (no water). Cobble is the main substrate with lots of gravel near end of survey. A few places of bank erosion and 1 farm-vehicle equipment crossing and fence across. Riparian area intact and has exclusion fence. Near end of survey, stream channel becomes very braided and wide with heavy willow growth in and around channel. Waypoint WP375 - large drainage ditch running north / south across field roughly parallel to stream. Perhaps alters flow in stream? Channel was dry for most of survey. Initially low flow with one pool then no water."
13,Cesford Creek,198048_us,00000BULK,0,13,3.5,4.6,6.8,5.7,5.5,4.3,,5.0666666666666655,,2.6,2.7,3.4,3.6,4,3.5,,3.3000000000000003,metre tape,0.2,0.45,0.35,0.3,,,,0.325,,0.35,0.35,,,0.35,,2.5,3,3,,0.028333333333333332,,low,,11,recording meter,263,,8.25,,Clear,moderate,sub-dominant,sub-dominant,none,trace,dominant,sub-dominant,none,21-40%,few,evenly distributed,,sloping,cobbles,,deciduous forest,young forest,sloping,fines,,shrubs,shrub,cobbles,gravels,,9,,sinuous,Partially Coupled,occasionally confined,,,,,,,,,"Medium value habitat but with high potential. Stream appears to have been dredged for near entire length between highways. Left side of stream is powerline and highway for first ~200m. Riparian area is very sparse below due to agricultural land clearing. Fish are concentrated in pool habitat which is sporatic. Some frequent pockets of gravel throughout. Good flow. Eroded bank at highway, good spot for habitat enhancement?"
